geoid,month,pm25_median,pm25_mean,n_obs
24005,2018-01-01,10.5,11.510550816901409,71
24005,2018-02-01,8.6,9.498165076923076,65
24005,2018-03-01,6.949999999999999,6.885915763888889,72
24005,2018-04-01,6.0,7.0065958382352935,68
24005,2018-05-01,7.8583335000000005,8.2164172,60
24005,2018-06-01,6.9083335,7.199128132352941,68
24005,2018-07-01,6.8,6.637727084507042,71
24005,2018-08-01,8.783333500000001,9.354420257142857,70
24005,2018-09-01,4.5,4.642810641791044,67
24005,2018-10-01,7.0,6.8363546714285715,70
24005,2018-11-01,7.275,7.835111396551724,58
24005,2018-12-01,8.3,9.931832934426229,61
24005,2019-01-01,6.9,7.763796202898551,69
24005,2019-02-01,7.0,9.525787639344262,61
24005,2019-03-01,7.2,7.548696753623189,69
24005,2019-04-01,4.3375,4.75826196969697,66
24005,2019-05-01,5.086957,5.976631786885246,61
24005,2019-06-01,7.4083335,7.8572594411764705,68
24005,2019-07-01,9.708333,9.533884695652173,69
24005,2019-08-01,7.833333,7.733844577464789,71
24005,2019-09-01,6.458333,6.612702268656717,67
24005,2019-10-01,5.0,5.912989057971014,69
24005,2019-11-01,8.0,7.835557839285714,56
24005,2019-12-01,6.708333,9.513507449275362,69
24005,2024-01-01,6.25,7.766920285714287,70
24005,2024-02-01,7.7416665,7.859454296875,64
24005,2024-03-01,4.2,4.6470695072463775,69
24005,2024-04-01,4.0,4.671183089552239,67
24005,2024-05-01,4.7333335000000005,5.244831112903226,62
24005,2024-06-01,8.130435,8.478877358208955,67
24005,2024-07-01,8.8,8.66002224637681,69
24005,2024-08-01,8.954545,9.08658652173913,69
24005,2024-09-01,6.225,6.206634632352941,68
24005,2024-10-01,8.666667,8.868300217391305,69
24005,2024-11-01,6.775,6.775403241935484,62
24005,2024-12-01,7.2,7.8398880289855075,69
24015,2018-01-01,9.4583335,10.01251125862069,58
24015,2018-02-01,8.3875,8.856556482142857,56
24015,2018-03-01,7.2291665,7.574180258064517,62
24015,2018-04-01,6.8041665,6.904015733333334,60
24015,2018-05-01,6.416667,6.735716375,56
24015,2018-06-01,7.0916665,7.330809166666667,60
24015,2018-07-01,6.9083335,6.592538983870968,62
24015,2018-08-01,5.3166665,5.972226838709678,62
24015,2018-09-01,8.1416665,8.775966183333333,60
24015,2018-10-01,9.908333500000001,10.13766843548387,62
24015,2018-11-01,8.570833499999999,8.869383425925927,54
24015,2018-12-01,8.133333499999999,7.913482306451613,62
24015,2019-01-01,5.1333335,6.240106387096774,62
24015,2019-02-01,5.7708335,8.045560982142858,56
24015,2019-03-01,6.4291665,6.965176435483871,62
24015,2019-04-01,3.0,3.8333158000000003,60
24015,2019-05-01,4.2,4.756504821428571,56
24015,2019-06-01,6.430434999999999,6.155871250000001,60
24015,2019-07-01,7.8375,7.8343326451612905,62
24015,2019-08-01,5.625,6.362292290322581,62
24015,2019-09-01,5.3125,5.742554316666666,60
24015,2019-10-01,3.5,3.989117,59
24015,2019-11-01,7.4083335,8.109041666666666,54
24015,2019-12-01,7.75,9.046826790322582,62
24015,2024-01-01,6.6458335,7.758454290322581,62
24015,2024-02-01,7.5,8.948129948275861,58
24015,2024-03-01,5.8375,6.2848356333333335,60
24015,2024-04-01,6.3875,6.913925683333333,60
24015,2024-05-01,5.325,5.605872851851852,54
24015,2024-06-01,8.225,8.297146466666666,60
24015,2024-07-01,8.408333500000001,8.66664085483871,62
24015,2024-08-01,9.1125,9.503678967741937,62
24015,2024-09-01,6.8636365,7.027484633333333,60
24015,2024-10-01,9.4,9.814652161290322,62
24015,2024-11-01,6.65,6.269290092592592,54
24015,2024-12-01,4.7041664999999995,4.95279425,60
24019,2018-01-01,5.5208335,6.1112127741935485,62
24019,2018-02-01,4.775,5.060960142857143,56
24019,2018-03-01,3.7458335,3.910402903225806,62
24019,2018-04-01,3.0416665,3.3762499999999998,60
24019,2018-05-01,3.7,4.335510245283019,53
24019,2018-06-01,6.7541665,7.145933183333333,60
24019,2018-07-01,7.083333,7.539704459016393,61
24019,2018-08-01,8.345652000000001,9.424935709677419,62
24019,2018-09-01,4.6,5.50896245,60
24019,2018-10-01,5.6125,5.805278564516129,62
24019,2018-11-01,6.2041664999999995,6.084536648148148,54
24019,2018-12-01,4.8541665,6.0147089838709675,62
24019,2019-01-01,4.9065215,5.491561483870968,62
24019,2019-02-01,4.8291664999999995,5.9065929285714285,56
24019,2019-03-01,4.75,4.943649354838709,62
24019,2019-04-01,3.3875,3.6925180666666666,60
24019,2019-05-01,3.5391304999999997,3.841317535714286,56
24019,2019-06-01,6.8125,7.0052294999999996,60
24019,2019-07-01,9.021739,8.923322822580644,62
24019,2019-08-01,6.8166665,7.178699129032258,62
24019,2019-09-01,6.05,6.452668466666666,60
24019,2019-10-01,5.0208335,5.4637447258064515,62
24019,2019-11-01,6.0916665,6.984737312499999,48
24019,2019-12-01,4.8375,5.718162677419355,62
24019,2024-01-01,4.1,4.342449915254237,59
24019,2024-02-01,5.6333335,6.371695379310345,58
24019,2024-03-01,3.5,4.024731193548387,62
24019,2024-04-01,4.1916665,4.88800505,60
24019,2024-05-01,3.5416665,4.206926548387097,62
24019,2024-06-01,5.5,5.6764568846153844,52
24019,2024-07-01,6.5416665,6.611388064516129,62
24019,2024-08-01,6.5,7.720821096774193,62
24019,2024-09-01,6.0208335,6.025,60
24019,2024-10-01,6.064394,6.287347516129032,62
24019,2024-11-01,5.6833335,6.39771515,60
24019,2024-12-01,4.8458335,5.5203733928571435,56
24023,2018-01-01,5.1,4.971311762711864,59
24023,2018-02-01,3.9083335,4.649844714285714,56
24023,2018-03-01,4.416667,4.67974249122807,57
24023,2018-04-01,5.3666665,5.8934486,60
24023,2018-05-01,9.439130500000001,8.744581911764707,34
24023,2018-06-01,6.6125,7.209025037037037,54
24023,2018-07-01,6.5,6.601956290322581,62
24023,2018-08-01,7.956522,8.171086981818181,55
24023,2018-09-01,3.3,3.526674320754717,53
24023,2018-10-01,2.3541665,3.035729306451613,62
24023,2018-11-01,3.5916665,4.1083055,54
24023,2018-12-01,6.0416665,6.884502112903226,62
24023,2019-01-01,5.5,6.055048548387097,62
24023,2019-02-01,6.225,6.556702875,56
24023,2019-03-01,6.5208335,7.1659481,60
24023,2019-04-01,4.8958335,5.129645366666667,60
24023,2019-05-01,5.8375,5.986931214285714,56
24023,2019-06-01,4.75,5.325911816666666,60
24023,2019-07-01,5.8,6.551648,62
24023,2019-08-01,5.4291665,5.438569467741935,62
24023,2019-09-01,5.1,5.6462187,60
24023,2019-10-01,3.166667,3.651788409836066,61
24023,2019-11-01,4.5,5.031747271186441,59
24023,2019-12-01,3.708333,4.605603081967213,61
24023,2024-01-01,2.6333335,2.8622975967741935,62
